date	pa_conc	strain	replicate	pheno
10192015	80	JU775	B	80.8080808080808
10192015	100	JU775	B	3
10192015	120	JU775	B	0
10192015	140	JU775	B	0
10132015	0	JU775	C	100
10132015	20	JU775	C	98.3606557377049
10132015	40	JU775	C	100
10132015	60	JU775	C	97.65625
10132015	80	JU775	C	31.8181818181818
10132015	100	JU775	C	3.33333333333333
10132015	120	JU775	C	0
10132015	140	JU775	C	0
10152015	0	JU775	C	100
10152015	20	JU775	C	100
10152015	40	JU775	C	100
10152015	60	JU775	C	100
10152015	80	JU775	C	100
10152015	100	JU775	C	0.943396226415094
10152015	120	JU775	C	0
10152015	140	JU775	C	0
10192015	0	JU775	C	100
10192015	20	JU775	C	98
10192015	40	JU775	C	98.3471074380165
10192015	60	JU775	C	99.0990990990991
10192015	80	JU775	C	76.8421052631579
10192015	100	JU775	C	1.63934426229508
10192015	120	JU775	C	0
10192015	140	JU775	C	0
10132015	0	MY23	A	100
10132015	20	MY23	A	99.3377483443709
10132015	40	MY23	A	100
10132015	60	MY23	A	97.2222222222222
10132015	80	MY23	A	29.0322580645161
10132015	100	MY23	A	18.8679245283019
10132015	120	MY23	A	2.1978021978022
10132015	140	MY23	A	0
10152015	0	MY23	A	100
10152015	20	MY23	A	96.5116279069768
10152015	40	MY23	A	98.7179487179487
10152015	60	MY23	A	100
10152015	80	MY23	A	98.6666666666667
10152015	100	MY23	A	8.57142857142857
10152015	120	MY23	A	0
10152015	140	MY23	A	0
10192015	0	MY23	A	100
10192015	20	MY23	A	98.7654320987654
10192015	40	MY23	A	96.4285714285714
10192015	60	MY23	A	89.7058823529412
10192015	80	MY23	A	79.5454545454545
10192015	100	MY23	A	4.44444444444444
10192015	120	MY23	A	1.17647058823529
10192015	140	MY23	A	0
10132015	0	MY23	B	100
10132015	20	MY23	B	98.2142857142857
10132015	40	MY23	B	100
10132015	60	MY23	B	95.8579881656805
10132015	80	MY23	B	37.888198757764
10132015	100	MY23	B	17.8571428571429
10132015	120	MY23	B	0.578034682080925
10132015	140	MY23	B	0
10152015	0	MY23	B	100
10152015	20	MY23	B	100
10152015	40	MY23	B	100
10152015	60	MY23	B	100
10152015	80	MY23	B	100
10152015	100	MY23	B	7.69230769230769
10152015	120	MY23	B	0
10152015	140	MY23	B	0
10192015	0	MY23	B	100
10192015	20	MY23	B	100
10192015	40	MY23	B	98.7341772151899
10192015	60	MY23	B	93.9393939393939
10192015	80	MY23	B	76.6666666666667
10192015	100	MY23	B	6.41025641025641
10192015	120	MY23	B	0
10192015	140	MY23	B	0
10132015	0	MY23	C	100
10132015	20	MY23	C	99.2805755395683
10132015	40	MY23	C	100
10132015	60	MY23	C	96.969696969697
10132015	80	MY23	C	26.9461077844311
10132015	100	MY23	C	17.8082191780822
10132015	120	MY23	C	2.1505376344086
10132015	140	MY23	C	0
10152015	0	MY23	C	100
10152015	20	MY23	C	94.2528735632184
10152015	40	MY23	C	100
10152015	60	MY23	C	100
10152015	80	MY23	C	97.3684210526316
10152015	100	MY23	C	7.61904761904762
10152015	120	MY23	C	0
10152015	140	MY23	C	0
10192015	0	MY23	C	100
10192015	20	MY23	C	100
10192015	40	MY23	C	99.0196078431373
10192015	60	MY23	C	95.2380952380952
10192015	80	MY23	C	81.0526315789474
10192015	100	MY23	C	4.65116279069767
10192015	120	MY23	C	0
10192015	140	MY23	C	0
10132015	0	JT11398	A	100
10132015	20	JT11398	A	100
10132015	40	JT11398	A	100
10132015	60	JT11398	A	98.2658959537572
10132015	80	JT11398	A	22.2929936305732
10132015	100	JT11398	A	7.79220779220779
10132015	120	JT11398	A	5.59440559440559
10132015	140	JT11398	A	0
10152015	0	JT11398	A	100
10152015	20	JT11398	A	100
10152015	40	JT11398	A	100
10152015	60	JT11398	A	98.989898989899
10152015	80	JT11398	A	99.0654205607477
10152015	100	JT11398	A	0
10152015	120	JT11398	A	0
10152015	140	JT11398	A	0
10192015	0	JT11398	A	100
10192015	20	JT11398	A	100
10192015	40	JT11398	A	99.0384615384615
10192015	60	JT11398	A	100
10192015	80	JT11398	A	86.8131868131868
10192015	100	JT11398	A	1.06382978723404
10192015	120	JT11398	A	0
10192015	140	JT11398	A	0
10132015	0	JT11398	B	100
10132015	20	JT11398	B	100
10132015	40	JT11398	B	100
10132015	60	JT11398	B	96.4467005076142
10132015	80	JT11398	B	27.0588235294118
10132015	100	JT11398	B	9.03614457831325
10132015	120	JT11398	B	3.78787878787879
10132015	140	JT11398	B	0
10152015	0	JT11398	B	100
10152015	20	JT11398	B	100
10152015	40	JT11398	B	98.989898989899
10152015	60	JT11398	B	100
10152015	80	JT11398	B	98.9473684210526
10152015	100	JT11398	B	0
10152015	120	JT11398	B	0
10152015	140	JT11398	B	0
10192015	0	JT11398	B	100
10192015	20	JT11398	B	100
10192015	40	JT11398	B	99.0476190476191
10192015	60	JT11398	B	99.1452991452991
10192015	80	JT11398	B	88.3720930232558
10192015	100	JT11398	B	0.952380952380952
10192015	120	JT11398	B	0
10192015	140	JT11398	B	0
10132015	0	JT11398	C	100
10132015	20	JT11398	C	100
10132015	40	JT11398	C	100
10132015	60	JT11398	C	97.8947368421053
10132015	80	JT11398	C	27.7173913043478
10132015	100	JT11398	C	6.56565656565657
10132015	120	JT11398	C	4.76190476190476
10132015	140	JT11398	C	0
10152015	0	JT11398	C	100
10152015	20	JT11398	C	100
10152015	40	JT11398	C	99.1304347826087
10152015	60	JT11398	C	100
10152015	80	JT11398	C	97.1698113207547
10152015	100	JT11398	C	0
10152015	120	JT11398	C	0
10152015	140	JT11398	C	0
10192015	0	JT11398	C	100
10192015	20	JT11398	C	100
10192015	40	JT11398	C	100
10192015	60	JT11398	C	99.1228070175439
10192015	80	JT11398	C	90.9090909090909
10192015	100	JT11398	C	3.44827586206897
10192015	120	JT11398	C	0
10192015	140	JT11398	C	0
10132015	0	MY16	A	100
10132015	20	MY16	A	100
10132015	40	MY16	A	100
10132015	60	MY16	A	100
10132015	80	MY16	A	92.4528301886792
10132015	100	MY16	A	15.4929577464789
10132015	120	MY16	A	3.03030303030303
10132015	140	MY16	A	0
10152015	0	MY16	A	100
10152015	20	MY16	A	100
10152015	40	MY16	A	100
10152015	60	MY16	A	100
10152015	80	MY16	A	98.0769230769231
10152015	100	MY16	A	56.25
10152015	120	MY16	A	10
10152015	140	MY16	A	0
10192015	0	MY16	A	100
10192015	20	MY16	A	100
10192015	40	MY16	A	100
10192015	60	MY16	A	100
10192015	80	MY16	A	100
10192015	100	MY16	A	38.961038961039
10192015	120	MY16	A	0
10192015	140	MY16	A	0
10132015	0	MY16	B	100
10132015	20	MY16	B	100
10132015	40	MY16	B	100
10132015	60	MY16	B	100
10132015	80	MY16	B	83.3333333333333
10132015	100	MY16	B	14.8148148148148
10132015	120	MY16	B	7.80141843971631
10132015	140	MY16	B	0
10152015	0	MY16	B	100
10152015	20	MY16	B	100
10152015	40	MY16	B	100
10152015	60	MY16	B	100
10152015	80	MY16	B	98.8636363636364
10152015	100	MY16	B	56.4705882352941
10152015	120	MY16	B	18.1818181818182
10152015	140	MY16	B	0
10192015	0	MY16	B	100
10192015	20	MY16	B	100
10192015	40	MY16	B	100
10192015	60	MY16	B	100
10192015	80	MY16	B	97.5609756097561
10192015	100	MY16	B	46.5346534653465
10192015	120	MY16	B	0.925925925925926
10192015	140	MY16	B	0
10132015	0	MY16	C	100
10132015	20	MY16	C	100
10132015	40	MY16	C	100
10132015	60	MY16	C	100
