date	pa_conc	strain	replicate	pheno
10132015	20	LKC34	C	100
10132015	40	LKC34	C	100
10132015	60	LKC34	C	99.236641221374
10132015	80	LKC34	C	51.7241379310345
10132015	100	LKC34	C	3.84615384615385
10132015	120	LKC34	C	0
10132015	140	LKC34	C	0
10152015	0	LKC34	C	100
10152015	20	LKC34	C	100
10152015	40	LKC34	C	100
10152015	60	LKC34	C	100
10152015	80	LKC34	C	96.6666666666667
10152015	100	LKC34	C	3.44827586206897
10152015	120	LKC34	C	0
10152015	140	LKC34	C	0
10192015	0	LKC34	C	100
10192015	20	LKC34	C	100
10192015	40	LKC34	C	100
10192015	60	LKC34	C	97.5609756097561
10192015	80	LKC34	C	79.2207792207792
10192015	100	LKC34	C	1.16279069767442
10192015	120	LKC34	C	0
10192015	140	LKC34	C	0
