p	n	d	sd	iteration	m.sd	sd.sd
9.951966704724313e-6	10	0.01	0.11513571928742376	1	9.662617249450723e-6	1.8043853981827725e-7
1.9335762447392213e-5	10	0.02	0.11513571928742376	1	1.8269977366636158e-5	6.613714206834426e-7
3.668177637139447e-5	10	0.03	0.11513571928742376	1	3.380513752215819e-5	1.7771465555316668e-6
6.796740930226086e-5	10	0.04	0.11513571928742376	1	6.122308159683953e-5	4.149765165538645e-6
1.2303778311539837e-4	10	0.05	0.11513571928742376	1	1.085488104111021e-4	8.882737618791188e-6
2.176663777395671e-4	10	0.060000000000000005	0.11513571928742376	1	1.884539781157546e-4	1.785136734904433e-5
3.764337213181257e-4	10	0.06999999999999999	0.11513571928742376	1	3.2044404066438047e-4	3.411705996126634e-5
6.365916601505095e-4	10	0.08	0.11513571928742376	1	5.337837921422728e-4	6.24896235750992e-5
0.0010530314701169274	10	0.09	0.11513571928742376	1	8.712602195139363e-4	1.1024986541049155e-4
0.001704372040063129	10	0.09999999999999999	0.11513571928742376	1	0.0013938182626925145	1.8802241803546113e-4
0.002700019245032159	10	0.11	0.11513571928742376	1	0.002185999676949102	3.107540269843745e-4
0.004187817877496891	10	0.12	0.11513571928742376	1	0.0033619648714183327	4.98706104999296e-4
0.006361635370786156	10	0.13	0.11513571928742376	1	0.005071687415722281	7.783161737293192e-4
0.00946791204047126	10	0.14	0.11513571928742376	1	0.0075066966681729295	0.0011827289101881678
0.01380993467456959	10	0.15000000000000002	0.11513571928742376	1	0.010904533527342265	0.0017517559357215517
0.01974840355229346	10	0.16	0.11513571928742376	1	0.0155509166006499	0.002531009044944233
0.027696838549957192	10	0.17	0.11513571928742376	1	0.02177853698269715	0.003569979183077182
0.03811057191053513	10	0.18000000000000002	0.11513571928742376	1	0.029961454893048668	0.004918914437039121
0.05146854315656879	10	0.19	0.11513571928742376	1	0.04050429602598989	0.006624488087032896
0.06824784386233929	10	0.2	0.11513571928742376	1	0.05382585419330629	0.008724434295848885
0.0888919022401724	10	0.21000000000000002	0.11513571928742376	1	0.07033728446813817	0.011241543001652546
0.1137742397835042	10	0.22	0.11513571928742376	1	0.09041576758755565	0.014177613414705106
0.14316071967071287	10	0.23	0.11513571928742376	1	0.11437525874675554	0.017508125929224776
0.1771739617009862	10	0.24000000000000002	0.11513571928742376	1	0.1424365950182528	0.02117846370976641
0.21576395401552007	10	0.25	0.11513571928742376	1	0.17469971034244464	0.02510246538854498
0.2586887263187706	10	0.26	0.11513571928742376	1	0.21112089288766947	0.02916390497433014
0.30550821880945767	10	0.27	0.11513571928742376	1	0.2514978478119097	0.03322118451404488
0.3555932369452639	10	0.28	0.11513571928742376	1	0.29546478112023367	0.03711512552132455
0.408149771548345	10	0.29000000000000004	0.11513571928742376	1	0.3424988391044209	0.04067931476475475
0.4622572082755033	10	0.3	0.11513571928742376	1	0.39193812182487986	0.04375206882613563
0.5169173094276411	10	0.31	0.11513571928742376	1	0.4430102812113786	0.04618879885387628
0.5711095738745271	10	0.32	0.11513571928742376	1	0.4948695786196385	0.04787343582326483
0.6238478610353547	10	0.33	0.11513571928742376	1	0.5466393706892033	0.04872764435132292
